AnswerID,Question,Reference_Answer,Model_Answer,Precision,Recall,F1_Score
ADAM_0003147_Sec1.txt,What is (are) Polycystic ovary syndrome ? (Also called: Polycystic ovaries; Polycystic ovary disease; Stein-Leventhal syndrome; Polyfollicular ovarian disease),"Polycystic ovary syndrome is a condition in which a woman has an imbalance of female sex hormones. This may lead to changes in the menstrual cycle, cysts in the ovaries, trouble getting pregnant, and other health problems.)","Polycystic ovary syndrome (PCOS) is a condition in which a woman has an imbalance of female sex hormones. It can cause problems with menstruation and make it difficult to get pregnant. PCOS also causes unwanted facial and body hair growth. Over time, it can lead to serious health problems, such",0.9066802263259888,0.928292453289032,0.9173591136932373
ADAM_0003147_Sec2.txt,What causes Polycystic ovary syndrome ? (Also called: Polycystic ovaries; Polycystic ovary disease; Stein-Leventhal syndrome; Polyfollicular ovarian disease),"PCOS is linked to changes in hormone levels that make it harder for the ovaries to release fully-grown (mature) eggs. The reasons for these changes are unclear. The hormones affected are: - Estrogen and progesterone, the female hormones that help a woman's ovaries release eggs  - Androgen, a male hormone that is found in small amounts in women  Normally, one or more eggs are released during a woman's cycle. This is known as ovulation. In most cases, this release of eggs occurs about 2 weeks after the start of a menstrual period.  In PCOS, mature eggs are not released. Instead, they stay in the ovaries with a small amount of fluid around them. There can be many of these. However, not all women with the condition will have ovaries with this appearance.  These problems with the release of eggs can contribute to infertility. The other symptoms of this disorder are due to thehormoneimbalances. Most of the time, PCOS is diagnosed in women in their 20s or 30s. However, it may also affect teenage girls. The symptoms often begin when a girl's periods start. Women with this disorder often have a mother or sister who has similar symptoms.)","Polycystic ovary syndrome (PCOS) is a common health problem caused by an imbalance of reproductive hormones. The syndrome can cause changes in the menstrual cycle, infertility, and other symptoms.",0.8736370801925659,0.8180742859840393,0.8449432253837585
ADAM_0002818_Sec7.txt,What are the complications of Noonan syndrome ?,"Buildup of fluid in tissues of body (lymphedema, cystic hygroma) - Failure to thrive in infants - Low self-esteem - Infertility in males if both testes are undescended - Problems with the structure of the heart - Short height - Social problems due to physical symptoms)",1. Webbed neck,0.860812783241272,0.7869035601615906,0.8222005367279053
ADAM_0002818_Sec9.txt,How to prevent Noonan syndrome ?,Couples with a family history of Noonan syndrome may want to consider genetic counseling before having children.),"The Noonan syndrome is a rare genetic condition. The Noonan syndrome is caused by a mutation in the PTPN11 gene. The Noonan syndrome is characterized by the presence of a characteristic facial appearance, including a broad forehead, a broad nasal bridge, a short nose with a flattened tip, and a small mouth",0.8262593150138855,0.8393058180809021,0.8327314853668213
GARD_0004375_Sec1.txt,What are the symptoms of Neurofibromatosis-Noonan syndrome ? (Also called: NFNS; Noonan neurofibromatosis syndrome; Neurofibromatosis with Noonan phenotype; Neurofibromatosis),"The Human Phenotype Ontology provides the following list of signs and symptoms for Neurofibromatosis-Noonan syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the helix 90% Abnormality of the pulmonary valve 90% Aplasia/Hypoplasia of the abdominal wall musculature 90% Cafe-au-lait spot 90% Cognitive impairment 90% Hypertelorism 90% Hypertrophic cardiomyopathy 90% Low-set, posteriorly rotated ears 90% Ptosis 90% Short stature 90% Webbed neck 90% Abnormality of coagulation 50% Abnormality of the lymphatic system 50% Abnormality of the thorax 50% Cryptorchidism 50% Feeding difficulties in infancy 50% Lisch nodules 5% Autosomal dominant inheritance - Axillary freckling - Cubitus valgus - Delayed speech and language development - Depressed nasal bridge - Epicanthus - Hypoplasia of midface - Inguinal freckling - Low posterior hairline - Low-set ears - Macrocephaly - Malar flattening - Muscle weakness - Neurofibromas - Optic glioma - Pectus excavatum of inferior sternum - Posteriorly rotated ears - Prominent nasolabial fold - Pulmonic stenosis - Scoliosis - Secundum atrial septal defect - Short neck - Specific learning disability - Superior pectus carinatum - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.)","Neurofibromatosis-Noonan syndrome (NFNS) is a rare genetic disorder characterized by the presence of neurofibromas, benign tumors that develop from nerve tissue, and the typical features of Noonan syndrome. Individuals with NFNS may exhibit a combination of physical abnormalities, including distinctive facial features, short",0.8373512029647827,0.7556208968162537,0.7943894267082214
GARD_0004450_Sec3.txt,Is Noonan syndrome inherited ?,"Noonan syndrome is inherited in an autosomal dominant manner. This means that having one changed (mutated) copy of the responsible gene in each cell is enough to cause the condition. Each child of a person with Noonan syndrome has a 50% (1 in 2) chance to inherit the condition. In some cases, the condition is inherited from an affected parent. Because the features of the condition can vary and may be very subtle, many affected adults are diagnosed only after the birth of a more obviously affected infant. In other cases, the condition is caused by a new mutation occurring for the first time in the affected person.)","Yes, Noonan syndrome is inherited. It is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.<|end_of_text|>",0.8881638646125793,0.8607999682426453,0.8742678761482239
GARD_0004450_Sec4.txt,What are the treatments for Noonan syndrome ?,Management generally focuses on the specific signs and symptoms present in each person. Treatments for the complications of Noonan syndrome (such as cardiovascular abnormalities) are generally standard and do not differ from treatment in the general population. Developmental disabilities are addressed by early intervention programs and individualized education strategies. Treatment for serious bleeding depends upon the specific factor deficiency or platelet abnormality. Growth hormone treatment increases growth velocity. More detailed information about treatment for Noonan syndrome can be viewed on the GeneReviews Web site.),"Treatment of Noonan syndrome focuses on managing the symptoms of the condition. For example, people with Noonan syndrome may require surgery to correct heart defects. Other treatments are aimed at managing the condition's complications, such as bleeding problems or increased blood pressure.",0.8965555429458618,0.8535968661308289,0.8745490312576294
GHR_0000804_Sec2.txt,How many people are affected by polycystic kidney disease ? (Also called: PKD; polycystic renal disease),"Polycystic kidney disease is a fairly common genetic disorder. It affects about 500,000 people in the United States. The autosomal dominant form of the disease is much more common than the autosomal recessive form. Autosomal dominant polycystic kidney disease affects 1 in 500 to 1,000 people, while the autosomal recessive type occurs in an estimated 1 in 20,000 to 40,000 people.","There are about 600,000 people affected by polycystic kidney disease in the United States. Worldwide, the number of people affected by polycystic kidney disease is about 12.5 million.",0.9202393293380737,0.8572892546653748,0.887649655342102
ADAM_0002818_Sec1.txt,What is (are) Noonan syndrome ?,Noonan syndrome is a disease that can be passed down through families (inherited). It causes many parts of the body to develop abnormally.),"Noonan syndrome is a genetic disorder that affects the development of many parts of the body. It is characterized by a range of physical features, including distinctive facial features, short stature, and heart defects. Noonan syndrome is caused by mutations in several genes, including PTPN11, RAF1, and KRAS",0.8623281717300415,0.8792276978492737,0.870695948600769
GARD_0004450_Sec1.txt,What is (are) Noonan syndrome ?,"Noonan syndrome is a genetic disorder that causes abnormal development of multiple parts of the body. Features of Noonan syndrome may include a distinctive facial appearance, short stature, a broad or webbed neck, congenital heart defects, bleeding problems, skeletal malformations, and developmental delay. Noonan syndrome may be caused by mutations in any one of several genes including the PTPN11, KRAS, RAF1, SOS1, NRAS and BRAF genes. It is sometimes referred to as a specific subtype based on the responsible gene in an affected person. Noonan syndrome is typically inherited in an autosomal dominant manner but many cases are due to a new mutation and are not inherited from an affected parent.)","Noonan syndrome is a genetic condition that affects the development of multiple body systems. It is characterized by a range of features, including distinctive facial features, heart defects, skeletal abnormalities, and cognitive impairment. Individuals with Noonan syndrome may also have an increased risk of developing certain types of cancer. The condition is caused by",0.9176362156867981,0.8569838404655457,0.8862735629081726
